"date","airtemp","watertemp","wavedirection","waveperiod","waveheight","windspeed","winddirection"
2022-04-05,60.725,56.09,267.416666666667,11.2583333333333,6.32518611666667,15.7856006666667,283.333333333333
2022-04-06,59.6075,57.095,277.416666666667,12.1191666666667,6.56441403333333,6.56855933333333,202.625
2022-04-07,61.535652173913,59.7669565217391,275.739130434783,13.364347826087,5.04821424347826,3.86232556521739,183.739130434783
2022-04-08,62.18,59.9975,273.125,12.5175,3.27127088333333,6.390374,254.791666666667
2022-04-09,58.91,58.52,270.5,9.28,6.04221366666667,13.4934893333333,244.666666666667
2022-04-10,57.5825,58.2575,276.708333333333,10.6616666666667,6.35252645,9.15224666666667,252.166666666667
2022-04-11,57.2547826086956,58.475652173913,270.608695652174,10.1421739130435,7.06807052173913,14.7562810434783,289.826086956522
2022-04-12,53.615652173913,56.4565217391304,264.695652173913,8.16304347826087,6.55597419130435,20.9850205217391,292.608695652174
2022-04-13,54.035,55.5125,266.625,7.36791666666667,5.49814103333333,16.571236,294.041666666667
2022-04-14,55.5875,55.6925,262.875,6.3225,4.89802071666667,12.1570993333333,274.375
2022-04-15,56.6130434782609,55.9947826086957,260.652173913043,5.41826086956522,3.97266930434783,11.7475547826087,269.478260869565
2022-04-16,55.7075,56.48,260.791666666667,5.92416666666667,3.53783913333333,14.3196213333333,263.958333333333
2022-04-17,55.085,56.4575,271.333333333333,7.71666666666667,4.6833991,9.55721333333333,238.166666666667
2022-04-18,56.8025,55.775,259.333333333333,6.62208333333333,4.5439634,7.823956,215.833333333333
2022-04-19,57.77,55.7,260.75,5.33416666666667,4.55079848333333,17.7213413333333,277.791666666667
2022-04-20,55.6925,54.005,261.041666666667,8.00541666666667,4.1666668,14.9351706666667,276.291666666667
2022-04-21,56.21,55.1825,275.333333333333,11.11375,3.9862206,8.80397533333333,271.791666666667
2022-04-22,55.835,56.63,269.625,12.3533333333333,5.76470928333333,13.5663833333333,276.375
2022-04-23,56.2373913043478,55.6113043478261,268.782608695652,13.7530434782609,6.6929136,11.9334873043478,259.434782608696
2022-04-24,58.28,56.0675,268.25,11.8745833333333,5.35050323333333,6.68195,258.875
2022-04-25,56.3675,56.5325,275.375,14.9058333333333,4.34848001666667,8.86067066666667,242.125
